,Year,County,Violent Crime Arrests,Estimated Population,Arrests Per Capita
0,2003,Alameda,4749,1496218,0.00317400271885514
1,2003,Alpine,7,1208,0.005794701986754967
2,2003,Amador,92,36523,0.0025189606549297703
3,2003,Butte,571,210367,0.0027143040495895268
4,2003,Calaveras,166,42458,0.003909746102030241
5,2003,Colusa,83,19700,0.004213197969543147
6,2003,Contra Costa,2482,994908,0.0024947030278176475
7,2003,Del Norte,154,27848,0.005530020109164033
8,2003,El Dorado,614,166030,0.0036981268445461664
9,2003,Fresno,4939,841423,0.0058698181532950726
10,2003,Glenn,113,27071,0.004174208562668538
11,2003,Humboldt,534,128347,0.0041605958845941085
12,2003,Imperial,640,150909,0.0042409664102207294
13,2003,Inyo,61,18351,0.003324069532995477
14,2003,Kern,3746,702873,0.0053295545567976004
15,2003,Kings,677,136108,0.004973991242248802
16,2003,Lake,319,61307,0.005203320991077691
17,2003,Lassen,83,34955,0.002374481476183665
18,2003,Los Angeles,39633,9979618,0.003971394496262282
19,2003,Madera,423,131168,0.003224871919980483
20,2003,Marin,562,250409,0.0022443282789356613
21,2003,Mariposa,78,17465,0.0044660750071571715
22,2003,Mendocino,478,88222,0.005418149667883294
23,2003,Merced,1332,225138,0.005916371292274072
24,2003,Modoc,63,9335,0.00674879485806106
25,2003,Mono,45,13337,0.003374072130164205
26,2003,Monterey,1623,415773,0.0039035723820450103
27,2003,Napa,347,129776,0.0026738379977807917
28,2003,Nevada,263,95749,0.002746764979268713
29,2003,Orange,6646,2978816,0.002231087787899622
30,2003,Placer,696,275612,0.002525289174636808
31,2003,Plumas,125,20881,0.005986303337962741
32,2003,Riverside,6200,1705537,0.0036352187023793677
33,2003,Sacramento,5647,1309611,0.004311967446821995
34,2003,San Benito,233,56309,0.0041378820437230285
35,2003,San Bernardino,8517,1832966,0.004646567366770578
36,2003,San Diego,9602,2961579,0.003242189386134896
37,2003,San Joaquin,3361,613490,0.0054784919069585485
38,2003,San Luis Obispo,628,256254,0.0024506934525900083
39,2003,San Mateo,1528,717041,0.002130979957910357
40,2003,Santa Barbara,882,410277,0.002149767108563239
41,2003,Santa Clara,5052,1729917,0.0029203713241733563
42,2003,Santa Cruz,849,259844,0.0032673450223980544
43,2003,Shasta,726,172033,0.004220120558264984
44,2003,Sierra,13,3515,0.003698435277382646
45,2003,Siskiyou,220,44411,0.00495372768007926
46,2003,Solano,1609,411967,0.003905652637225797
47,2003,Sonoma,1126,472686,0.0023821310552882887
48,2003,Stanislaus,2420,481604,0.005024875208677669
49,2003,Sutter,362,83241,0.004348818490887904
50,2003,Tehama,317,57684,0.005495458012620484
51,2003,Trinity,82,13319,0.006156618364742098
52,2003,Tulare,2265,386246,0.00586413839884426
53,2003,Tuolumne,162,56473,0.0028686274857011316
54,2003,Ventura,1967,791310,0.0024857514754015493
55,2003,Yolo,866,181291,0.004776850477960847
56,2003,Yuba,549,62847,0.008735500501217242
57,2004,Alameda,4301,1498020,0.002871123215978425
58,2004,Alpine,7,1275,0.005490196078431373
59,2004,Amador,111,36834,0.003013520117282945
60,2004,Butte,609,212745,0.002862581964323486
61,2004,Calaveras,199,43339,0.004591707238284224
62,2004,Colusa,76,20105,0.003780154190499876
63,2004,Contra Costa,2408,1003909,0.0023986237796453664
64,2004,Del Norte,232,28266,0.008207740748602562
65,2004,El Dorado,575,168117,0.0034202370967837876
66,2004,Fresno,4884,862642,0.005661676570350157
67,2004,Glenn,113,27756,0.0040711918143824756
68,2004,Humboldt,471,129964,0.0036240805146040443
69,2004,Imperial,565,156562,0.003608793960220232
70,2004,Inyo,79,18515,0.004266810694031866
71,2004,Kern,3875,724883,0.005345690270015989
72,2004,Kings,723,141434,0.005111924996818304
73,2004,Lake,374,63242,0.0059137914676955184
74,2004,Lassen,75,34846,0.0021523273833438557
75,2004,Los Angeles,37397,10102961,0.003701588078980014
76,2004,Madera,430,135262,0.00317901554021085
77,2004,Marin,582,250169,0.0023264273351214578
78,2004,Mariposa,86,17646,0.004873625750878386
79,2004,Mendocino,461,89190,0.005168740890234331
80,2004,Merced,1241,232141,0.005345888920957521
81,2004,Modoc,44,9640,0.004564315352697096
82,2004,Mono,46,13520,0.0034023668639053253
83,2004,Monterey,1428,421441,0.0033883746479341117
84,2004,Napa,396,131624,0.003008569865677992
85,2004,Nevada,276,96065,0.0028730547025451517
86,2004,Orange,6269,3017298,0.0020776867250102576
87,2004,Placer,722,292095,0.0024717985586880983
88,2004,Plumas,107,21104,0.0050701288855193325
89,2004,Riverside,5603,1776743,0.0031535230475088407
90,2004,Sacramento,5809,1335368,0.004350111729500782
91,2004,San Benito,247,57116,0.004324532530289236
92,2004,San Bernardino,8626,1886481,0.004572534788317507
93,2004,San Diego,9558,3017204,0.003167833530646254
94,2004,San Joaquin,3311,630577,0.005250746538487766
95,2004,San Luis Obispo,696,258204,0.002695543058976623
96,2004,San Mateo,1416,712386,0.0019876864508847733
97,2004,Santa Barbara,1197,414796,0.002885755889642137
98,2004,Santa Clara,4700,1731422,0.002714531754823492
99,2004,Santa Cruz,771,260218,0.002962900337409403
100,2004,Shasta,812,175705,0.0046213824307788625
101,2004,Sierra,18,3524,0.00510783200908059
102,2004,Siskiyou,183,44861,0.004079267069392122
103,2004,Solano,1518,416463,0.0036449816670388485
104,2004,Sonoma,1415,472725,0.002993283621555873
105,2004,Stanislaus,2348,491929,0.004773046516875403
106,2004,Sutter,392,85511,0.004584205540807616
107,2004,Tehama,211,58742,0.0035919784821762963
108,2004,Trinity,81,13455,0.006020066889632107
109,2004,Tulare,2164,396828,0.005453244226717873
110,2004,Tuolumne,155,56946,0.00272187686580269
111,2004,Ventura,1840,802436,0.002293017760918005
112,2004,Yolo,801,184487,0.004341769338760996
113,2004,Yuba,530,64840,0.008173966687230106
114,2005,Alameda,4090,1507500,0.002713101160862355
115,2005,Alpine,10,1262,0.00792393026941363
116,2005,Amador,133,37574,0.0035396816947889497
117,2005,Butte,635,214119,0.002965640601721473
118,2005,Calaveras,162,44796,0.003616394320921511
119,2005,Colusa,77,20880,0.0036877394636015324
120,2005,Contra Costa,2498,1020898,0.0024468654067301534
121,2005,Del Norte,171,28895,0.005917978889081156
122,2005,El Dorado,545,173407,0.0031428950388392627
123,2005,Fresno,4951,883537,0.005603613657379374
124,2005,Glenn,137,28197,0.00485867290846544
125,2005,Humboldt,452,131334,0.00344160689539647
126,2005,Imperial,562,161800,0.0034734239802224967
127,2005,Inyo,75,18592,0.004033993115318417
128,2005,Kern,3820,753070,0.005072569615042427
129,2005,Kings,666,144732,0.004601608490174944
130,2005,Lake,360,63250,0.005691699604743083
131,2005,Lassen,116,35455,0.0032717529262445352
132,2005,Los Angeles,36322,10226506,0.003551750715249177
133,2005,Madera,467,141007,0.003311892317402682
134,2005,Marin,544,252485,0.002154583440600432
135,2005,Mariposa,68,17991,0.0037796676115835694
136,2005,Mendocino,418,89974,0.0046457865605619405
137,2005,Merced,1197,240162,0.004984135708396832
138,2005,Modoc,55,9700,0.005670103092783505
139,2005,Mono,58,13563,0.0042763400427634005
140,2005,Monterey,1538,425102,0.0036179552201589266
141,2005,Napa,362,133294,0.002715801161342596
142,2005,Nevada,236,98955,0.0023849224394926986
143,2005,Orange,6128,3056865,0.002004668181290309
144,2005,Placer,800,305675,0.0026171587470352497
145,2005,Plumas,85,21231,0.004003579671235458
146,2005,Riverside,5489,1877000,0.0029243473628129996
147,2005,Sacramento,5961,1369855,0.0043515554565994215
148,2005,San Benito,191,57602,0.003315857088295545
149,2005,San Bernardino,8400,1946202,0.004316098740007461
150,2005,San Diego,9215,3051280,0.003020044047088435
151,2005,San Joaquin,3500,653333,0.005357145590380403
152,2005,San Luis Obispo,676,260727,0.00259275027135663
153,2005,San Mateo,1479,723453,0.002044362246061596
154,2005,Santa Barbara,1222,419260,0.0029146591613795733
155,2005,Santa Clara,5033,1759585,0.0028603335445573815
156,2005,Santa Cruz,744,260240,0.0028588994774054717
157,2005,Shasta,530,178197,0.00297423637883915
158,2005,Sierra,13,3538,0.003674392312040701
159,2005,Siskiyou,197,45819,0.004299526397346079
160,2005,Solano,1508,421657,0.0035763665728305236
161,2005,Sonoma,1511,478440,0.003158180754117549
162,2005,Stanislaus,2462,504482,0.004880253408446684
163,2005,Sutter,359,88945,0.004036202147394457
164,2005,Tehama,257,60019,0.00428197737383162
165,2005,Trinity,79,13749,0.005745872427085606
166,2005,Tulare,2267,409871,0.00553100853683232
167,2005,Tuolumne,145,58504,0.002478463011076166
168,2005,Ventura,1967,813052,0.0024192794556805713
169,2005,Yolo,749,187743,0.003989496279488449
170,2005,Yuba,520,66734,0.00779212994875176
171,2006,Alameda,4042,1510303,0.002676284162846793
172,2006,Alpine,7,1241,0.0056406124093473006
173,2006,Amador,100,38133,0.0026224005454593136
174,2006,Butte,628,217209,0.0028912245809335707
175,2006,Calaveras,186,45711,0.004069042462426987
176,2006,Colusa,94,21512,0.004369654146522871
177,2006,Contra Costa,2885,1029377,0.002802666078608712
178,2006,Del Norte,174,29196,0.005959720509658858
179,2006,El Dorado,577,176204,0.0032746135161517333
180,2006,Fresno,4842,899514,0.005382906769655614
181,2006,Glenn,119,28651,0.004153432689958466
182,2006,Humboldt,457,132526,0.0034483799405399694
183,2006,Imperial,522,166585,0.0031335354323618575
184,2006,Inyo,67,18515,0.0036186875506346206
185,2006,Kern,3867,779869,0.004958525085623355
186,2006,Kings,543,147729,0.0036756493308693623
187,2006,Lake,401,64105,0.006255362296232743
188,2006,Lassen,80,35452,0.002256572266726842
189,2006,Los Angeles,35384,10245572,0.0034535895116446402
190,2006,Madera,513,144396,0.0035527299925205685
191,2006,Marin,569,253341,0.0022459846609905226
192,2006,Mariposa,59,18216,0.0032389108476065
193,2006,Mendocino,485,90445,0.005362374923986953
194,2006,Merced,1361,246751,0.005515681800681659
195,2006,Modoc,62,9836,0.0063033753558357055
196,2006,Mono,46,13597,0.0033830992130617047
197,2006,Monterey,1537,424842,0.0036178155643745206
198,2006,Napa,385,134444,0.0028636458302341494
199,2006,Nevada,302,100066,0.003018008114644335
200,2006,Orange,6124,3072336,0.001993271569255446
201,2006,Placer,755,316508,0.00238540574013927
202,2006,Plumas,102,21444,0.004756575265808618
203,2006,Riverside,6134,1953330,0.003140278396379516
204,2006,Sacramento,5930,1385607,0.0042797127901345764
205,2006,San Benito,221,57627,0.003835007895604491
206,2006,San Bernardino,8717,1991829,0.0043763796992613326
207,2006,San Diego,9086,3066820,0.0029626779530588687
208,2006,San Joaquin,3409,668265,0.005101269705880152
209,2006,San Luis Obispo,646,263242,0.002454015696583372
210,2006,San Mateo,1412,724104,0.0019499961331521439
211,2006,Santa Barbara,1186,421625,0.002812926178476134
212,2006,Santa Clara,4856,1773258,0.0027384621978302085
213,2006,Santa Cruz,699,262351,0.0026643694897294083
214,2006,Shasta,474,181483,0.0026118148807326306
215,2006,Sierra,11,3501,0.003141959440159954
216,2006,Siskiyou,252,46146,0.00546092835782083
217,2006,Solano,2034,422848,0.004810239140305737
218,2006,Sonoma,1453,479929,0.0030275311556501065
219,2006,Stanislaus,2330,514370,0.004529813169508331
220,2006,Sutter,404,91450,0.004417714598141061
221,2006,Tehama,301,61533,0.004891684136967156
222,2006,Trinity,67,14024,0.004777524244152881
223,2006,Tulare,2425,420619,0.0057653125512637324
224,2006,Tuolumne,154,58231,0.0026446394532122068
225,2006,Ventura,2129,817346,0.002604772030449773
226,2006,Yolo,803,190344,0.004218677762367082
227,2006,Yuba,385,69827,0.005513626534148682
228,2007,Alameda,4443,1526148,0.0029112510713246685
229,2007,Alpine,8,1261,0.006344171292624901
230,2007,Amador,93,38435,0.0024196695720046834
231,2007,Butte,743,218069,0.0034071784618629882
232,2007,Calaveras,193,46028,0.004193099852263839
233,2007,Colusa,93,21951,0.004236709033757004
234,2007,Contra Costa,2770,1042341,0.0026574796539712052
235,2007,Del Norte,150,29341,0.005112300194267407
236,2007,El Dorado,576,178674,0.003223748278988549
237,2007,Fresno,5104,917515,0.005562851833485011
238,2007,Glenn,111,28915,0.003838837973370223
239,2007,Humboldt,532,131959,0.00403155525579915
240,2007,Imperial,622,172672,0.0036022053372868792
241,2007,Inyo,68,18383,0.0036990697927432956
242,2007,Kern,4415,801648,0.005507404746222781
243,2007,Kings,491,151381,0.003243471769905074
244,2007,Lake,275,64276,0.004278424295226835
245,2007,Lassen,102,36375,0.0028041237113402063
246,2007,Los Angeles,36250,10331939,0.003508537942393969
247,2007,Madera,518,148721,0.003483031986067872
248,2007,Marin,527,255982,0.0020587385050511364
249,2007,Mariposa,86,18254,0.004711296154267558
250,2007,Mendocino,456,90291,0.005050337242914576
251,2007,Merced,1244,251510,0.004946125402568486
252,2007,Modoc,48,9721,0.004937763604567431
253,2007,Mono,51,13985,0.003646764390418305
254,2007,Monterey,1583,425960,0.003716311390740915
255,2007,Napa,386,135969,0.0028388823923100118
256,2007,Nevada,249,99766,0.0024958402662229617
257,2007,Orange,6140,3098121,0.0019818464159405006
258,2007,Placer,790,324495,0.0024345521502642568
259,2007,Plumas,106,21128,0.005017039000378644
260,2007,Riverside,6078,2031625,0.002991693841137021
261,2007,Sacramento,5991,1406804,0.004258588971882366
262,2007,San Benito,210,57803,0.003633029427538363
263,2007,San Bernardino,9064,2028013,0.004469399357893662
264,2007,San Diego,10182,3098269,0.003286351185129503
265,2007,San Joaquin,3426,679687,0.005040555432132732
266,2007,San Luis Obispo,607,264900,0.0022914307285768214
267,2007,San Mateo,1310,733496,0.001785967476305256
268,2007,Santa Barbara,1127,424425,0.0026553572480414677
269,2007,Santa Clara,4714,1808056,0.0026072201303499448
270,2007,Santa Cruz,730,264125,0.0027638428774254616
271,2007,Shasta,479,181401,0.0026405587620795916
272,2007,Sierra,15,3485,0.00430416068866571
273,2007,Siskiyou,182,45953,0.003960568406850478
274,2007,Solano,1962,424823,0.004618394013506802
275,2007,Sonoma,1421,481765,0.0029495708488578454
276,2007,Stanislaus,2500,521497,0.004793891431781966
277,2007,Sutter,489,93919,0.005206614210117228
278,2007,Tehama,229,61774,0.0037070612231683234
279,2007,Trinity,54,14171,0.0038105991108602073
280,2007,Tulare,2398,429006,0.005589665412604952
