County,Year,Population
Alameda,2003,1467892
Alpine,2003,1248
Amador,2003,36656
Butte,2003,209389
Calaveras,2003,42651
Colusa,2003,19538
Contra Costa,2003,984256
Del Norte,2003,27744
El Dorado,2003,166195
Fresno,2003,837256
Glenn,2003,26974
Humboldt,2003,129468
Imperial,2003,149041
Inyo,2003,18461
Kern,2003,707111
Kings,2003,136710
Lake,2003,61492
Lassen,2003,33828
Los Angeles,2003,9756914
Madera,2003,130641
Marin,2003,247342
Mariposa,2003,17612
Mendocino,2003,87764
Merced,2003,225946
Modoc,2003,9456
Mono,2003,13478
Monterey,2003,410276
Napa,2003,128683
Nevada,2003,95277
Orange,2003,2944565
Placer,2003,283703
Plumas,2003,20722
Riverside,2003,1730219
Sacramento,2003,1307189
San Benito,2003,55330
San Bernardino,2003,1825379
San Diego,2003,2927216
San Francisco,2003,782599
San Joaquin,2003,612295
San Luis Obispo,2003,254583
San Mateo,2003,704014
Santa Barbara,2003,407828
Santa Clara,2003,1693752
Santa Cruz,2003,255368
Shasta,2003,170782
Sierra,2003,3555
Siskiyou,2003,44491
Solano,2003,407882
Sonoma,2003,467139
Stanislaus,2003,478283
Sutter,2003,83018
Tehama,2003,57847
Trinity,2003,13273
Tulare,2003,385769
Tuolumne,2003,56177
Ventura,2003,784632
Yolo,2003,180798
Yuba,2003,63349
Alameda,2004,1466407
Alpine,2004,1257
Amador,2004,36961
Butte,2004,211419
Calaveras,2004,43554
Colusa,2004,19933
Contra Costa,2004,993958
Del Norte,2004,28029
El Dorado,2004,168984
Fresno,2004,853057
Glenn,2004,27210
Humboldt,2004,130712
Imperial,2004,152420
Inyo,2004,18533
Kern,2004,728872
Kings,2004,140688
Lake,2004,62307
Lassen,2004,34313
Los Angeles,2004,9806944
Madera,2004,134645
Marin,2004,246990
Mariposa,2004,17818
Mendocino,2004,88130
Merced,2004,232356
Modoc,2004,9556
Mono,2004,13650
Monterey,2004,411544
Napa,2004,129814
Nevada,2004,96540
Orange,2004,2965398
Placer,2004,296712
Plumas,2004,20824
Riverside,2004,1814485
Sacramento,2004,1331910
San Benito,2004,55374
San Bernardino,2004,1875063
San Diego,2004,2953703
San Francisco,2004,781308
San Joaquin,2004,629787
San Luis Obispo,2004,257045
San Mateo,2004,702254
Santa Barbara,2004,410357
Santa Clara,2004,1695602
Santa Cruz,2004,254986
Shasta,2004,172729
Sierra,2004,3506
Siskiyou,2004,44691
Solano,2004,410164
Sonoma,2004,469103
Stanislaus,2004,486639
Sutter,2004,85097
Tehama,2004,58953
Trinity,2004,13453
Tulare,2004,395127
Tuolumne,2004,56407
Ventura,2004,792213
Yolo,2004,184015
Yuba,2004,64604
Alameda,2005,1462736
Alpine,2005,1237
Amador,2005,37434
Butte,2005,212955
Calaveras,2005,44348
Colusa,2005,20374
Contra Costa,2005,1001216
Del Norte,2005,28251
El Dorado,2005,171739
Fresno,2005,866058
Glenn,2005,27394
Humboldt,2005,131467
Imperial,2005,155793
Inyo,2005,18511
Kern,2005,750969
Kings,2005,143607
Lake,2005,62870
Lassen,2005,34552
Los Angeles,2005,9816153
Madera,2005,138174
Marin,2005,246688
Mariposa,2005,17965
Mendocino,2005,88129
Merced,2005,238069
Modoc,2005,9595
Mono,2005,13763
Monterey,2005,409557
Napa,2005,130472
Nevada,2005,97454
Orange,2005,2973845
Placer,2005,307710
Plumas,2005,20880
Riverside,2005,1895695
Sacramento,2005,1350523
San Benito,2005,55221
San Bernardino,2005,1921423
San Diego,2005,2966783
San Francisco,2005,780187
San Joaquin,2005,645059
San Luis Obispo,2005,259213
San Mateo,2005,700350
Santa Barbara,2005,411440
Santa Clara,2005,1698234
Santa Cruz,2005,254783
Shasta,2005,173862
Sierra,2005,3449
Siskiyou,2005,44865
Solano,2005,410985
Sonoma,2005,469734
Stanislaus,2005,494144
Sutter,2005,87097
Tehama,2005,59976
Trinity,2005,13654
Tulare,2005,404148
Tuolumne,2005,56411
Ventura,2005,795962
Yolo,2005,186530
Yuba,2005,66478
Alameda,2006,1462371
Alpine,2006,1232
Amador,2006,37843
Butte,2006,214690
Calaveras,2006,45044
Colusa,2006,20729
Contra Costa,2006,1007169
Del Norte,2006,28296
El Dorado,2006,174218
Fresno,2006,879128
Glenn,2006,27628
Humboldt,2006,131958
Imperial,2006,160088
Inyo,2006,18442
Kern,2006,774062
Kings,2006,146045
Lake,2006,63449
Lassen,2006,34769
Los Angeles,2006,9798609
Madera,2006,141693
Marin,2006,246969
Mariposa,2006,18150
Mendocino,2006,87802
Merced,2006,243072
Modoc,2006,9614
Mono,2006,13975
Monterey,2006,406935
Napa,2006,131330
Nevada,2006,98068
Orange,2006,2973057
Placer,2006,317437
Plumas,2006,20785
Riverside,2006,1975913
Sacramento,2006,1365214
San Benito,2006,55025
San Bernardino,2006,1959715
San Diego,2006,2976492
San Francisco,2006,781295
San Joaquin,2006,656247
San Luis Obispo,2006,260873
San Mateo,2006,699347
Santa Barbara,2006,412271
Santa Clara,2006,1706676
Santa Cruz,2006,255107
Shasta,2006,174747
Sierra,2006,3427
Siskiyou,2006,44918
Solano,2006,410964
Sonoma,2006,469751
Stanislaus,2006,500780
Sutter,2006,89364
Tehama,2006,61000
Trinity,2006,13806
Tulare,2006,412239
Tuolumne,2006,56506
Ventura,2006,799049
Yolo,2006,189078
Yuba,2006,68464
Alameda,2007,1470622
Alpine,2007,1252
Amador,2007,38025
Butte,2007,216401
Calaveras,2007,45477
Colusa,2007,21006
Contra Costa,2007,1015672
Del Norte,2007,28378
El Dorado,2007,176226
Fresno,2007,893088
Glenn,2007,27872
Humboldt,2007,132443
Imperial,2007,164707
Inyo,2007,18434
Kern,2007,795982
Kings,2007,148933
Lake,2007,63890
Lassen,2007,35379
Los Angeles,2007,9780808
Madera,2007,145163
Marin,2007,248025
Mariposa,2007,18310
Mendocino,2007,87617
Merced,2007,247542
Modoc,2007,9615
Mono,2007,14182
Monterey,2007,406890
Napa,2007,132537
Nevada,2007,98408
Orange,2007,2977151
Placer,2007,325985
Plumas,2007,20654
Riverside,2007,2049902
Sacramento,2007,1380172
San Benito,2007,54948
San Bernardino,2007,1989690
San Diego,2007,2998477
San Francisco,2007,787127
San Joaquin,2007,665304
San Luis Obispo,2007,262982
San Mateo,2007,701838
Santa Barbara,2007,414750
Santa Clara,2007,1725066
Santa Cruz,2007,256543
Shasta,2007,175546
Sierra,2007,3384
Siskiyou,2007,44877
Solano,2007,411998
Sonoma,2007,471479
Stanislaus,2007,505959
Sutter,2007,91563
Tehama,2007,61777
Trinity,2007,13806
Tulare,2007,419842
Tuolumne,2007,56347
Ventura,2007,803572
Yolo,2007,192826
Yuba,2007,69719
Alameda,2008,1484085
Alpine,2008,1228
Amador,2008,37975
Butte,2008,217801
Calaveras,2008,45670
Colusa,2008,21145
Contra Costa,2008,1027264
Del Norte,2008,28526
El Dorado,2008,177897
Fresno,2008,906521
Glenn,2008,28066
Humboldt,2008,132931
Imperial,2008,168495
