Entity Name,Fiscal Year,Police Protection_Total,Mental Health_Total,Drug and Alcohol Abuse Services_Total
Alameda,2003,67620724,162111429,28910904
Alpine,2003,1610553,148701,500356
Amador,2003,5715469,1885165,849770
Butte,2003,11450959,28935820,4019764
Calaveras,2003,5672737,2007571,875481
Colusa,2003,3159671,2499952,1782027
Contra Costa,2003,78549758,88054807,19305613
Del Norte,2003,3004638,3055510,654251
El Dorado,2003,19796653,8408390,3046411
Fresno,2003,67466928,65272470,0
Glenn,2003,4251992,3594298,1447071
Humboldt,2003,10179118,18696775,2590703
Imperial,2003,12738280,11720110,2119301
Inyo,2003,3932627,3060994,702535
Kern,2003,56700193,59119640,10021022
Kings,2003,7884414,8203505,1778267
Lake,2003,7647010,6242206,2134868
Lassen,2003,2019785,2870974,1361576
Los Angeles,2003,1007572763,945781445,149581202
Madera,2003,8224549,8599753,1654343
Marin,2003,18801342,23931544,6167598
Mariposa,2003,3282766,1455045,592834
Mendocino,2003,7930285,12310381,2589596
Merced,2003,10645728,17207199,3121560
Modoc,2003,1801129,1273738,733498
Mono,2003,2929163,1114720,740642
Monterey,2003,29670460,26684680,4819777
Napa,2003,13449003,13194410,3747799
Nevada,2003,10772748,4576571,2136289
Orange,2003,227689394,155470232,38814007
Placer,2003,50767361,21432866,0
Plumas,2003,4847346,2207001,1384322
Riverside,2003,199290902,82587112,16006438
Sacramento,2003,179853799,27998807,19185351
San Benito,2003,3552413,2349221,849236
San Bernardino,2003,181707404,112362437,19196909
San Diego,2003,184520110,234883823,51820773
San Joaquin,2003,37461159,60203002,14573686
San Luis Obispo,2003,19518428,20774740,4632359
San Mateo,2003,49817476,71567633,17216299
Santa Barbara,2003,39760736,39741898,10350096
Santa Clara,2003,93537797,192275635,39531711
Santa Cruz,2003,19831732,31552556,6450219
Shasta,2003,14342669,18339737,3419042
Sierra,2003,1978345,392354,599094
Siskiyou,2003,8465358,6339258,1313579
Solano,2003,44119150,38057657,4536708
Sonoma,2003,44380422,37558274,11168082
Stanislaus,2003,32526451,53649815,6344730
Sutter,2003,4828724,15539921,0
Tehama,2003,5512369,6896817,1488624
Trinity,2003,2417792,2007615,847895
Tulare,2003,23358578,33911642,8776200
Tuolumne,2003,7643773,4885216,810134
Ventura,2003,89912232,44349665,15070495
Yolo,2003,6205625,0,3507093
Yuba,2003,6894491,0,0
Alameda,2004,72540104,167862041,27567999
Alpine,2004,1411586,137872,601698
Amador,2004,6210532,1714272,873767
Butte,2004,12669016,30120195,3340605
Calaveras,2004,5902700,1856610,928659
Colusa,2004,2952782,1610137,1144972
Contra Costa,2004,75819659,94886080,18531640
