County,Year,Population
Alameda,1970,1071446
Alpine,1970,484
Amador,1970,11821
Butte,1970,101969
Calaveras,1970,13585
Colusa,1970,12430
Contra Costa,1970,556116
Del Norte,1970,14580
El Dorado,1970,43833
Fresno,1970,413329
Glenn,1970,17521
Humboldt,1970,99692
Imperial,1970,74492
Inyo,1970,15571
Kern,1970,330234
Kings,1970,66717
Lake,1970,19548
Lassen,1970,16796
Los Angeles,1970,7041980
Madera,1970,41519
Marin,1970,208652
Mariposa,1970,6015
Mendocino,1970,51101
Merced,1970,104629
Modoc,1970,7469
Mono,1970,4016
Monterey,1970,247450
Napa,1970,79140
Nevada,1970,26346
Orange,1970,1421233
Placer,1970,77632
Plumas,1970,11707
Riverside,1970,456916
Sacramento,1970,634373
San Benito,1970,18226
San Bernardino,1970,682233
San Diego,1970,1357854
San Francisco,1970,715674
San Joaquin,1970,291073
San Luis Obispo,1970,105690
San Mateo,1970,557361
Santa Barbara,1970,264324
Santa Clara,1970,1065313
Santa Cruz,1970,123790
Shasta,1970,77640
Sierra,1970,2365
Siskiyou,1970,33224
Solano,1970,171989
Sonoma,1970,204885
Stanislaus,1970,194506
Sutter,1970,41935
Tehama,1970,29517
Trinity,1970,7615
Tulare,1970,188322
Tuolumne,1970,22169
Ventura,1970,378497
Yolo,1970,91788
Yuba,1970,44736
Alameda,1971,1082330
Alpine,1971,550
Amador,1971,12375
Butte,1971,104260
Calaveras,1971,13780
Colusa,1971,12340
Contra Costa,1971,562770
Del Norte,1971,14900
El Dorado,1971,45700
Fresno,1971,418575
Glenn,1971,17590
Humboldt,1971,100775
Imperial,1971,74780
Inyo,1971,15920
Kern,1971,335055
Kings,1971,66725
Lake,1971,20480
Lassen,1971,16850
Los Angeles,1971,7079050
Madera,1971,42450
Marin,1971,208910
Mariposa,1971,6225
Mendocino,1971,51890
Merced,1971,106840
Modoc,1971,7600
Mono,1971,4450
Monterey,1971,249340
Napa,1971,80470
Nevada,1971,26820
Orange,1971,1460020
Placer,1971,78890
Plumas,1971,11870
Riverside,1971,469830
Sacramento,1971,644505
San Benito,1971,18685
San Bernardino,1971,689410
San Diego,1971,1362010
San Francisco,1971,712800
San Joaquin,1971,292910
San Luis Obispo,1971,108810
San Mateo,1971,558845
Santa Barbara,1971,267705
Santa Clara,1971,1084625
Santa Cruz,1971,127950
Shasta,1971,79375
Sierra,1971,2450
Siskiyou,1971,33370
Solano,1971,176075
Sonoma,1971,210470
Stanislaus,1971,198940
Sutter,1971,42570
Tehama,1971,29920
Trinity,1971,7750
Tulare,1971,192440
Tuolumne,1971,22660
Ventura,1971,387925
Yolo,1971,93240
Yuba,1971,44870
Alameda,1972,1093880
Alpine,1972,600
Amador,1972,12860
Butte,1972,108295
Calaveras,1972,14060
Colusa,1972,12325
Contra Costa,1972,569980
Del Norte,1972,15290
El Dorado,1972,48575
Fresno,1972,427260
Glenn,1972,17960
Humboldt,1972,101830
Imperial,1972,75800
Inyo,1972,16460
Kern,1972,341365
Kings,1972,67255
Lake,1972,21820
Lassen,1972,17325
Los Angeles,1972,7085710
Madera,1972,43820
Marin,1972,212595
Mariposa,1972,6675
Mendocino,1972,52890
Merced,1972,109650
Modoc,1972,7750
Mono,1972,5250
Monterey,1972,253590
Napa,1972,82690
Nevada,1972,27945
Orange,1972,1511135
Placer,1972,80905
Plumas,1972,12300
Riverside,1972,483905
Sacramento,1972,658310
San Benito,1972,19250
San Bernardino,1972,693730
San Diego,1972,1406505
San Francisco,1972,709300
San Joaquin,1972,295000
San Luis Obispo,1972,112475
San Mateo,1972,561245
Santa Barbara,1972,270235
Santa Clara,1972,1107045
Santa Cruz,1972,135320
Shasta,1972,81725
Sierra,1972,2550
Siskiyou,1972,33850
Solano,1972,180695
Sonoma,1972,219335
Stanislaus,1972,204985
Sutter,1972,43230
Tehama,1972,30390
Trinity,1972,8200
Tulare,1972,197935
Tuolumne,1972,23500
Ventura,1972,400450
Yolo,1972,94810
Yuba,1972,45320
Alameda,1973,1094600
Alpine,1973,650
Amador,1973,13405
Butte,1973,112170
Calaveras,1973,14590
Colusa,1973,12300
Contra Costa,1973,574400
Del Norte,1973,15430
El Dorado,1973,51275
Fresno,1973,432960
Glenn,1973,18440
Humboldt,1973,103520
Imperial,1973,77390
Inyo,1973,16860
Kern,1973,345045
Kings,1973,68500
Lake,1973,23060
Lassen,1973,17675
Los Angeles,1973,7081050
Madera,1973,44870
Marin,1973,214420
Mariposa,1973,7225
Mendocino,1973,54540
Merced,1973,111995
Modoc,1973,7810
Mono,1973,6100
Monterey,1973,258420
Napa,1973,85080
Nevada,1973,29635
Orange,1973,1568535
Placer,1973,83640
Plumas,1973,13010
Riverside,1973,497275
Sacramento,1973,669535
San Benito,1973,19755
San Bernardino,1973,693700
San Diego,1973,1453965
San Francisco,1973,705300
San Joaquin,1973,296470
San Luis Obispo,1973,117365
San Mateo,1973,564565
Santa Barbara,1973,273005
Santa Clara,1973,1130730
Santa Cruz,1973,142790
Shasta,1973,84750
Sierra,1973,2650
Siskiyou,1973,34390
Solano,1973,181020
Sonoma,1973,229645
Stanislaus,1973,210685
Sutter,1973,44150
Tehama,1973,30835
Trinity,1973,8700
Tulare,1973,202795
Tuolumne,1973,24340
Ventura,1973,412275
Yolo,1973,96430
Yuba,1973,45100
